id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2572122473,46,208,4,2,4
2316990618,414,6,6,4,4
2505467527,906,2,8,8,2
2260625444,69,0,5,0,3
2276638632,2,2,1,0,1
2262896459,1423,415,28,0,17
2338146242,3678,352,17,2,4
2338137923,2,2,2,3,2
2302011032,155,130,6,2,4
2603053611,2297,525,15,3,7
2334102185,3097,6182,26,2,15
2276003210,394,12,10,10,4
2284162555,1,1,1,0,1
2423192529,404,347,10,1,6
2321249612,1753,0,17,2,5
2532398897,123,74,8,15,5
2318368341,2335,13,7,2,4
2587787281,1,2,2,2,2
2512709604,1150,750,7,1,3
2342198131,1135,418,7,1,6
2526287460,47,0,1,2,1
2328288277,138,72,2,2,2
2517002955,19,13,2,1,2
2267536574,8,354,9,0,6
2547783618,282,121,20,2,9
2416306793,102,102,10,1,4
2259356244,423,11,14,15,7
2513413649,0,0,0,0,0
2329174536,331,6,1,1,1
2263732132,23,85,2,0,2
2621907187,642,2052,29,19,14
2428115577,0,0,0,0,0
2571433250,708,403,39,2,14
2486006659,0,0,0,0,0
2355300308,0,0,0,0,0
2427616889,0,0,0,0,0
2279039942,43,65,23,0,10
2358334023,0,0,0,0,0
2544110590,0,0,0,0,0
2412901600,0,0,0,0,0
2465464455,0,0,0,0,0
2591917397,0,0,0,0,0
2592855865,0,0,0,0,0
2364787187,0,0,0,0,0
2483823196,0,0,0,0,0
2428059466,0,0,0,0,0
2400483157,0,0,0,0,0
2448702145,0,0,0,0,0
2456002199,0,0,0,0,0
2518007609,0,0,0,0,0
2491632607,72,0,1,2,1
2516605098,35,0,4,1,3
2501897746,15,9,3,0,2
2606867877,54,10,3,2,2
2602215850,1873,0,11,8,3
2613005958,18,18,3,2,1
2537575913,14,46,2,1,2
2313986091,45,2,3,1,3
2590915714,580,804,3,6,3
2425648879,0,0,0,0,0
2480611839,75,53,2,2,1
2298301775,254,1,14,1,4
2394359557,69,60,1,3,1
2429986559,135,44,4,2,3
2602595464,18,2,2,0,2
2562167965,37,0,1,2,1
2400261241,514,40,10,5,7
2348197679,11,11,3,3,1
2538364130,553,14,5,4,3
2487201438,31,31,3,2,1
2379525942,12,12,3,2,1
2525044729,458,0,5,1,3
2609611207,12,1,2,0,2
2608245390,55,28,2,2,1
2617123938,223,28,4,2,3
2514159122,256,35,11,13,7
2507504146,103,195,2,2,2
2411982102,194,87,15,0,10
2357831897,11,11,3,2,1
2399115785,18,18,3,2,1
2396372892,11,1,1,7,1
2533141282,261,51,3,1,1
2608710946,29,6,1,0,1
2501723766,33,22,2,2,1
2305035806,60,15,2,2,2
2552972768,0,338,2,0,2
2398850480,1849,424,26,2,23
2517835700,863,60,33,24,32
2452743881,172,5,21,11,18
2514566572,145,252,5,2,2
2329360113,209,17,10,8,8
2537530577,298,14,13,3,6
2259056356,19,4,5,0,3
2584281152,3047,10,14,0,8
2549162857,71,0,4,0,3
2418655078,57,52,7,0,2
2381515967,655,492,6,0,5
2452338664,81,69,4,0,4
2583696992,50,1,4,0,4
2478174447,99,6,6,0,6
2552725254,154,3,1,3,1
2404565610,35,34,2,0,1
2272604615,16,13,2,0,1
2388365918,37,62,3,3,2
2373501517,289,86,6,4,3
2498140513,1,1,1,0,1
2446184625,4,4,2,0,2
2621079280,592,505,8,0,3
2281772765,245,1,14,1,10
2412702490,86,5,10,0,5
2356985296,77,1865,13,0,7
2475169467,56,10,2,0,1
2470347809,239,68,5,0,5
2588531580,581,0,4,12,3
2509409023,6,1,2,0,2
2622776005,765,967,9,6,5
2578019772,2318,121,22,8,11
2603324859,902,0,7,13,5
2610079175,244,0,1,2,1
2514630825,112,62,4,0,3
2471569510,246,2,3,5,3
2614648202,760,155,5,13,4
2474923964,7136,97,42,3,14
2507450238,623,14,9,0,6
2475201432,580,564,110,0,16
2575184090,490,32,4,1,1
2575206759,4176,0,31,8,7
2518037766,208,2,3,11,3
2477996963,1071,726,55,0,10
2530289863,2,2,1,1,1
2600162783,190,2,3,3,3
2553825380,1225,322,18,3,10
2469832951,44,22,1,6,1
2306429949,43,25,2,7,1
2507308776,236,44,3,0,3
2507530456,533,0,3,8,2
2550980922,18,47,4,0,2
2509303500,728,88,12,19,7
2382990146,20,11,4,2,2
2620620539,10,6,1,1,1
